APOGEE_ID,region,line_Fe,abun_Fe_log,MAD_Fe_log,abun_Fe_sol,MAD_Fe_sol,line_Mg,abun_Mg_log,MAD_Mg_log,abun_Mg_sol,MAD_Mg_sol,line_Si,abun_Si_log,MAD_Si_log,abun_Si_sol,MAD_Si_sol,line_Ti,abun_Ti_log,MAD_Ti_log,abun_Ti_sol,MAD_Ti_sol,line_C,abun_C_log,MAD_C_log,abun__C_sol,MAD_C_sol,line_K,abun_K_log,MAD_K_log,abun_K_sol,MAD_K_sol
2M05273301+0341487,bori,1.2.6.7.12.15,7.3995,0.0085249627564077,-0.106750106811523,0.0085250518333455,6,7.4865,0.0185325277313202,-0.116829975204467,0.0185325984273029,1.6.7.8,7.344,0.012231468302671,-0.165999898910522,0.0122314654748318,,,,,,,,,,,1.2,4.88425,0.0114901671934183,-0.195749955177307,0.0114900413545689
2M05273617+0051538,bori,1.2.6.7.12.15,7.442,0.014084721075804,-0.0642498493194577,0.0140851141454678,5.6,7.4915,0.0252042377145951,-0.11182986076355,0.0252041783299695,1.6.7.8,7.43,0.0111195166387918,-0.0799999332427976,0.0111197711443304,,,,,,,,,,,1.2,4.90625,0.0285400927062328,-0.17374988079071,0.0285401450212602
2M05273778-0127345,bori,1.2.6.7.12.15,7.44075,0.0081543122017811,-0.0654999971389767,0.0081544281431927,6,7.525,0.0192738288405733,-0.078329904632568,0.0192738458076087,1.6.7.8,7.4335,0.0126021188572972,-0.0764999485015867,0.0126019124250276,,,,,,,,,,,2,4.814,0.0111195166387917,-0.265999870300293,0.0111194176644159
2M05273980-0158371,bori,1.2.6.7.15,7.563,0.0059304088740217,0.0567502021789554,0.0059299790424465,5.6,7.5935,0.0192738288405727,-0.0098298626708981,0.0192740225475658,1.6.7.8,7.529,0.0096369144202863,0.0189998054504397,0.0096369229038043,,,,,,,,,,,1.2,4.84125,0.0133434199665503,-0.238749938011169,0.0133431598053335
2M05274060-0016575,bori,1.2.7.12.15,7.361,0.028910743260859,-0.145249938964843,0.028910768711413,6,7.3515,0.0644931965049935,-0.251829965667724,0.0644931173254929,1.6.7.8,7.366,0.0555975831939605,-0.144000062942505,0.0555974418019943,,,,,,,,,,,1.2,4.767,0.0111195166387924,-0.313000040054321,0.011119417664416
2M05274063+0103572,bori,6.7.12.15,7.475,0.0467019698829269,-0.0312499761581417,0.0467017662784958,6,7.4445,0.113419069715679,-0.158830030517578,0.113418979224821,1.6.7.8,7.442,0.0752420625891591,-0.0680000877380368,0.075241911299756,,,,,,,,,,,2,5.08,0.0163086244035618,-7.629394538355427E-8,0.0163088562863853
2M05274257-0221008,bori,1.2.6.7.12.15,7.385,0.0103782155295394,-0.121250009536743,0.0103781702841101,6,7.364,0.0266868399331005,-0.239330156402588,0.0266870265704956,1.6.7.8,7.405,0.0118608177480448,-0.105000028610229,0.0118606650447217,,,,,,,,,,,1.2,5.002,0.0229803343868366,-0.077999906539917,0.0229800827091378
2M05275999+0229480,bori,2.6.7.12.15,7.35,0.0177912266220665,-0.156250095367431,0.0177906440871685,6,7.308,0.0140847210758026,-0.295329912261963,0.0140847606655536,1.6.7,7.295,0.0163086244035618,-0.214999923706054,0.0163088562863854,,,,,,,,,,,1.2,4.91725,0.0159379738489349,-0.162750201225281,0.0159382325962325
2M05280994+0210263,bori,1.2.6.12.15,7.561,0.0081543122017815,0.0547498703002933,0.0081544281431927,5.6,7.42725,0.0303933454793648,-0.176079972343445,0.0303934402119818,1.6.7.8,7.50275,0.0118608177480448,-0.0072499608993528,0.0118606650447219,,,,,,,,,,,2,4.7865,0.0170499255128141,-0.293500022888184,0.0170497501867768
2M05281249-0149387,bori,7.15,7.323,0.0470726204375528,-0.183249926567077,0.0470723899686487,6,7.538,0.0563388843032125,-0.0653301316070553,0.0563390426622145,1.6.7.8,7.49375,0.127874441346108,-0.0162500238418577,0.127874717060441,,,,,,,,,,,2,5.071,0.0192738288405726,-0.0089999008178711,0.0192738458076087
2M05281925-0152039,bori,1.2.6.12.15,7.516,0.0118608177480448,0.009749794006348,0.0118606650447217,6,7.355,0.0118608177480448,-0.248329980926513,0.0118606650447218,1.7,7.53,0.0126021188572978,0.0199999713897708,0.0126022659049418,,,,,,,,,,,1.2,5.08575,0.012231468302671,0.0057499837875365,0.0122312887348746
2M05282059-0022432,bori,1.2.7.12.15,7.4365,0.0192738288405726,-0.0697501659393306,0.0192738458076087,6,7.423,0.0489258732106854,-0.180330141143799,0.0489258618993276,1.6.7,7.391,0.0355824532441344,-0.119000205993652,0.0355819951341655,,,,,,,,,,,1.2,4.97375,0.0177912266220672,-0.106250004768372,0.0177913510469971
2M05282400-0128577,bori,1.2.6.7.12.15,7.50875,0.0240922860507158,0.0024998426437382,0.0240926607394251,6,7.512,0.0533736798662017,-0.0913299160766598,0.0533733461811625,1.6.7.8,7.571,0.0348411521348807,0.0610000991821291,0.0348412779737311,,,,,,,,,,,,,,,
2M05282858-0206103,bori,1.2.6.7.12.15,7.4195,0.0155673232943087,-0.0867501258850094,0.0155674321661225,6,7.4735,0.0214977321683311,-0.129829986648559,0.0214975879485262,1.6.7.8,7.5035,0.0114901671934186,-0.0064997768402097,0.0114900413545689,,,,,,,,,,,1.2,4.9975,0.0174205760674407,-0.082500057220459,0.0174207273568441
2M05283339+0009299,bori,1.2.6.7.12.15,7.41825,0.0207564310590781,-0.0880000352859493,0.0207563405682203,6,7.3995,0.0392889587903984,-0.203829868392944,0.0392889389955232,1.6.7.8,7.42325,0.0266868399331012,-0.0867499208450314,0.0266868498305384,,,,,,,,,,,1.2,4.907,0.0226096838322107,-0.173000173568726,0.022609635758942
2M05283543+0140073,bori,1.2.6.7.12.15,7.39775,0.034099851025629,-0.108499979972839,0.0340998538534682,6,7.266,0.0407715610089038,-0.337330205993652,0.0407714337561349,1.6.7.8,7.43375,0.0322465982524971,-0.0762499666213986,0.0322467354027036,,,,,,,,,,,1.2,4.83,0.020015129949825,-0.249999837875366,0.0200150931879145
2M05283771+0011485,bori,7.12,7.164,0.040400910454278,-0.342249965667724,0.0404006333260248,6,7.672,0,0.0686699313354495,0,7,7.0005,0.0607866909587295,-0.509500036239624,0.0607865269440494,,,,,,,,,,,,,,,
