ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M04242039+4012521,66.084986,40.214474,California,5781.0,5826.0,5840.0,4.15,4.17,4.2,0.18,0.21,0.22,-0.08,-0.07,-0.05,19.52,19.61,20.04
2M04242385+3603474,66.099408,36.063194,California,6347.0,6368.0,6417.0,3.67,3.69,3.75,-0.41,-0.39,-0.37,-0.03,-0.01,0.01,23.75,24.0,24.47
2M04244122+3334501,66.171763,33.580589,California,5601.0,5622.0,5724.0,4.2,4.26,4.29,-0.17,-0.15,-0.1,-0.15,-0.12,-0.09,14.65,14.78,15.3
2M04244740+3352282,66.197503,33.874519,California,4270.0,5316.0,6381.0,3.33,3.82,4.35,-0.41,0.04,0.52,-0.02,0.36,0.64,14.78,27.57,38.2
2M04253728+3840320,66.405365,38.67556,California,5740.0,5750.0,5788.0,3.9,3.97,4.02,-0.18,-0.17,-0.15,-0.25,-0.23,-0.19,32.49,33.17,33.65
2M04260931+3628426,66.538804,36.478516,California,6344.0,6367.0,6399.0,3.75,3.77,3.83,-0.39,-0.37,-0.34,0.03,0.04,0.07,15.79,15.96,16.76
2M04262312+3745396,66.59634,37.761017,California,6160.0,6260.0,6287.0,4.46,4.57,4.59,0.06,0.11,0.12,-0.07,-0.06,-0.04,14.02,14.18,14.38
2M04270955+3821324,66.789813,38.359013,California,5733.0,5774.0,5882.0,3.89,3.98,4.0,-0.23,-0.19,-0.16,-0.35,-0.33,-0.27,23.86,24.41,25.4
2M04271110+3521514,66.796276,35.364288,California,4620.0,4643.0,4686.0,3.95,4.02,4.08,-0.13,-0.11,-0.1,0.01,0.02,0.04,20.66,20.79,21.38
2M04280577+3557569,67.024049,35.965813,California,6012.0,6085.0,6170.0,3.62,3.73,3.83,-0.28,-0.24,-0.19,-0.07,-0.03,0.02,14.91,15.07,15.82
2M04281288+3524202,67.053687,35.405613,California,5969.0,5984.0,6071.0,3.58,3.59,3.69,-0.05,-0.04,0.0,-0.06,-0.04,0.01,25.09,25.39,26.35
2M04290200+3612424,67.258354,36.211781,California,6002.5,6245.0,6319.0,4.03,4.28,4.35,-0.25,-0.15,-0.12,-0.06,-0.02,0.0,13.71,14.23,14.43
2M04291085+3654295,67.295237,36.908203,California,4305.0,4318.0,4398.0,4.25,4.26,4.45,-0.09,-0.07,-0.02,-0.01,0.0,0.05,12.89,14.21,14.48
2M04292146+3803559,67.339419,38.065533,California,6419.0,6466.0,6533.0,4.33,4.38,4.42,-0.19,-0.17,-0.14,-0.05,-0.04,-0.03,15.17,15.29,15.86
2M04300709+3743471,67.529582,37.729763,California,5250.0,5368.0,5410.0,3.93,3.97,4.06,-0.4,-0.35,-0.32,-0.12,-0.07,-0.04,23.84,24.02,24.56
2M04305070+3647541,67.711258,36.798386,California,6330.0,6362.0,6393.0,4.48,4.51,4.56,-0.06,-0.04,-0.02,-0.06,-0.04,-0.02,19.39,19.5,19.95
2M04305390+3602342,67.724593,36.042839,California,5949.0,5961.0,6020.0,3.27,3.28,3.39,-0.45,-0.44,-0.41,0.0,0.01,0.03,20.15,20.37,21.18
2M04311440+3703239,67.810016,37.05666,California,5550.0,5606.0,5623.0,4.29,4.34,4.38,-0.09,-0.07,-0.06,-0.1,-0.08,-0.07,15.93,16.07,16.77
2M04312192+3724209,67.841341,37.40583,California,6476.0,6550.0,6601.0,4.24,4.29,4.33,-0.4,-0.36,-0.34,0.02,0.04,0.07,14.58,14.69,15.24
2M04320260+3545392,68.010857,35.760902,California,5733.0,5749.0,5776.0,3.46,3.48,3.55,-0.44,-0.42,-0.41,-0.06,-0.05,-0.04,43.21,44.02,44.31
2M04322110+3542000,68.087934,35.700012,California,5626.0,5640.0,5677.0,4.0,4.0,4.13,-0.28,-0.26,-0.25,-0.14,-0.13,-0.11,14.87,15.02,15.51
2M04324789+3726433,68.199561,37.445374,California,6293.0,6343.0,6363.0,4.59,4.67,4.7,0.05,0.07,0.08,-0.16,-0.14,-0.1,16.62,16.86,17.97
2M04332068+3445202,68.336205,34.75563,California,6013.0,6064.0,6342.0,3.81,3.89,4.17,-0.47,-0.43,-0.34,-0.1,-0.07,0.01,36.37,38.12,38.83
2M04340287+3810269,68.511981,38.174149,California,3755.0,3851.0,3982.0,3.42,3.53,3.61,-0.69,-0.64,-0.58,-0.17,-0.16,-0.13,39.32,40.3,42.91
2M04344647+3637176,68.693625,36.621582,California,5963.0,5999.0,6018.0,3.79,3.82,3.86,-0.16,-0.13,-0.12,-0.06,-0.03,0.0,15.24,15.4,16.07
2M04344856+3816224,68.702347,38.272903,California,3835.0,4590.5,5292.75,3.31,3.78,4.42,-0.61,-0.13,0.39,-0.42,-0.09,0.25,13.09,24.68,38.05
2M04345728+3453406,68.738667,34.894623,California,5751.0,5818.0,5875.0,3.72,3.76,3.84,-0.39,-0.36,-0.33,-0.2,-0.17,-0.14,41.49,42.7,43.21
2M04361316+3841023,69.054838,38.683998,California,4640.0,5754.0,6800.0,3.22,3.86,4.43,-0.66,-0.11,0.39,-0.39,-0.04,0.29,15.06,27.56,38.21
2M04364154+3650009,69.17309,36.833607,California,6112.0,6182.0,6264.0,4.24,4.34,4.41,-0.19,-0.15,-0.11,-0.15,-0.12,-0.09,15.01,15.15,15.72
2M04372133+3450303,69.338911,34.841751,California,6071.0,6112.0,6160.0,4.19,4.23,4.28,-0.15,-0.12,-0.1,-0.1,-0.09,-0.06,18.39,18.84,18.98
2M04374741+3635506,69.447564,36.597416,California,5990.0,6000.0,6026.0,3.92,3.94,3.98,-0.37,-0.36,-0.34,-0.1,-0.09,-0.07,15.92,16.21,17.07
2M04375867+3637540,69.494464,36.631676,California,5582.0,5593.0,5693.0,3.75,3.77,3.91,-0.59,-0.58,-0.53,-0.1,-0.08,-0.05,26.1,26.73,27.43
2M04381195+3855368,69.549814,38.926914,California,5997.0,6070.0,6104.0,3.77,3.81,3.9,-0.38,-0.34,-0.32,-0.09,-0.07,-0.02,16.62,18.46,19.09
2M04384458+3530206,69.685751,35.50573,California,6494.0,6586.0,6599.0,4.59,4.68,4.7,-0.13,-0.09,-0.08,-0.1,-0.09,-0.07,19.08,19.17,19.6
2M04401903+3946071,70.079316,39.768654,California,6475.0,6560.0,6578.0,4.3,4.37,4.4,-0.2,-0.17,-0.16,-0.04,-0.01,0.01,19.56,19.72,20.19
2M04423093+3258075,70.628893,32.968765,California,5601.0,5622.0,5693.0,3.9,3.94,4.07,-0.17,-0.16,-0.12,-0.16,-0.13,-0.09,14.98,15.2,16.16
2M05253368+1138489,81.390352,11.646937,lambdaOrion,4208.0,4280.0,4319.0,3.65,3.7,3.79,-0.34,-0.33,-0.31,-0.01,0.01,0.04,15.34,15.54,16.31
2M05254830+1116299,81.451265,11.274974,lambdaOrion,4335.0,4346.0,4402.0,3.8,3.84,3.97,-0.11,-0.1,-0.07,0.05,0.07,0.11,20.68,20.98,21.84
2M05265991+1041401,81.749632,10.694488,lambdaOrion,3879.0,3885.0,3954.0,3.97,4.07,4.09,-0.08,-0.04,-0.03,-0.08,-0.07,-0.05,14.42,14.59,15.76
2M05271913+1025469,81.829723,10.429714,lambdaOrion,3317.0,3330.0,3394.0,3.34,3.36,3.44,-0.25,-0.2,-0.18,-0.1,-0.1,-0.08,43.0,44.0,44.54
2M05282635+1100448,82.109811,11.012455,lambdaOrion,3772.0,3778.0,3832.0,4.06,4.11,4.13,-0.1,-0.07,-0.05,-0.05,-0.04,-0.02,12.47,14.17,14.62
2M05285892+1052450,82.245529,10.879182,lambdaOrion,3570.0,3653.0,3748.0,3.72,3.75,3.92,-0.17,-0.09,-0.02,-0.09,-0.07,-0.04,14.54,14.75,15.7
2M05292025+1241001,82.334382,12.683363,lambdaOrion,4106.0,4126.0,4171.0,3.79,3.87,4.06,-0.17,-0.15,-0.1,-0.01,0.0,0.02,18.2,19.08,19.41
2M05294943+1101051,82.455995,11.018098,lambdaOrion,3565.0,3655.0,3757.0,3.75,3.8,3.96,-0.2,-0.11,-0.04,-0.09,-0.06,-0.04,14.65,14.92,16.04
2M05300327+1103302,82.513665,11.058394,lambdaOrion,3611.0,3654.0,3696.0,3.65,3.71,3.75,-0.2,-0.18,-0.1,-0.1,-0.09,-0.07,15.47,15.97,17.72
2M05301704+1215410,82.571009,12.261393,lambdaOrion,3547.0,3553.0,3633.0,3.67,3.71,3.77,-0.04,-0.01,0.03,-0.1,-0.09,-0.07,14.52,14.81,15.89
2M05311899+1034580,82.829151,10.58279,lambdaOrion,3448.0,3480.5,3551.0,3.88,4.11,4.21,0.04,0.23,0.29,-0.1,-0.09,-0.07,14.81,15.36,16.66
2M05311912+1034384,82.829696,10.577337,lambdaOrion,3939.0,3947.0,4038.0,4.08,4.13,4.16,-0.13,-0.1,-0.09,-0.08,-0.08,-0.06,19.77,19.98,21.19
2M05313860+1148264,82.910847,11.807335,lambdaOrion,3681.0,3696.0,3781.0,3.71,3.73,3.84,-0.21,-0.19,-0.17,-0.07,-0.06,-0.02,23.71,23.92,24.74
2M05314713+1040098,82.946382,10.669399,lambdaOrion,3928.0,3950.0,4013.0,3.91,3.96,4.05,-0.14,-0.13,-0.09,-0.08,-0.07,-0.05,42.64,43.41,43.89
2M05315994+1208068,82.999768,12.135236,lambdaOrion,3521.0,3558.0,3649.0,3.68,3.75,3.79,-0.18,-0.05,0.0,-0.09,-0.08,-0.05,15.92,16.58,17.88
2M05321285+1056083,83.05358,10.93566,lambdaOrion,4194.0,4202.0,4309.0,4.12,4.16,4.22,-0.1,-0.07,-0.05,-0.05,-0.04,0.0,14.67,14.83,15.58
2M05322139+0950074,83.089139,9.835399,lambdaOrion,3990.0,4088.0,4134.0,3.91,4.0,4.09,-0.16,-0.14,-0.08,-0.08,-0.05,-0.02,19.25,19.53,20.09
2M05322730+1237544,83.113789,12.631796,lambdaOrion,4365.0,4373.0,4437.0,3.71,3.75,3.79,-0.11,-0.1,-0.08,-0.01,0.0,0.02,29.82,30.21,30.93
2M05325918+1052561,83.246584,10.882272,lambdaOrion,3881.0,3905.0,4005.0,4.06,4.12,4.14,-0.12,-0.08,-0.06,-0.08,-0.07,-0.04,25.12,25.61,26.99
2M05330889+1153555,83.287042,11.898758,lambdaOrion,3192.0,3212.0,3293.0,3.52,3.59,3.64,-0.27,-0.06,0.0,-0.07,-0.06,-0.03,21.57,22.69,24.56
2M05332402+1019535,83.350117,10.331528,lambdaOrion,3994.0,4125.0,4161.0,3.81,3.91,4.04,-0.12,-0.09,-0.04,-0.09,-0.04,-0.02,21.12,23.36,24.01
2M05340555+0942466,83.523129,9.71296,lambdaOrion,4564.0,4573.0,4644.0,3.79,3.83,3.91,-0.08,-0.07,-0.05,0.03,0.04,0.07,20.0,20.17,20.68
2M05340691+1001005,83.528815,10.01681,lambdaOrion,4860.0,4874.0,4990.0,3.82,3.94,4.03,-0.16,-0.14,-0.11,0.06,0.1,0.12,37.87,38.34,39.0
2M05341369+0929197,83.557079,9.488824,lambdaOrion,4438.0,4448.0,4518.0,3.81,3.84,3.95,-0.1,-0.1,-0.07,0.03,0.05,0.06,29.13,29.36,29.75
2M05341389+0923394,83.55791,9.394286,lambdaOrion,3325.0,3357.0,3427.0,3.85,4.01,4.11,0.07,0.27,0.37,-0.1,-0.08,-0.06,14.36,14.63,16.22
2M05342016+1039001,83.58404,10.650051,lambdaOrion,3524.0,3530.0,3591.0,3.83,3.85,3.88,-0.06,0.0,0.01,-0.08,-0.07,-0.05,14.99,15.34,16.68
